Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
21403651,Doctor y campeón,Carlos Salvador Bilardo,"Bilardo, Carlos Salvador",,"=""9504937292""","=""9789504937296""",3,Planeta,Paperback,384,2014,2014,2023/04/10,2023/03/26,,,read,"Me sorprendió que parece realmente escrita por él. El 90% del libro es descripción de jugadas. Interesante. Tenía como expectativa más anécdotas estrafalarias. Hay, pero no tantas.",,,1,0
59558308,Qué hacer con estos pedazos,Piedad Bonnett,"Bonnett, Piedad",,"=""""","=""""",4,Alfaguara,Paperback,168,2021,2021,2023/03/25,2023/03/26,,,read,"<br/>Confirmo que me encanta esta autora. Es un libro bastante desgarrador, retrata muy bien una tristeza y una soledad muy profundas. La construcción de una vida interna cuando lo externo parece no acompañar es bastante genial. Me hizo pensar en mi la vida interna de mi madre.",,,1,0
522426,A Life's Work: On Becoming a Mother,Rachel Cusk,"Cusk, Rachel",,"=""0312311303""","=""9780312311308""",3,Picador,Paperback,224,2003,2001,2023/03/05,2023/02/28,,,read,,,,1,0
28503741,Departamento de especulaciones,Jenny Offill,"Offill, Jenny",Eduardo Jordá,"=""841621364X""","=""9788416213641""",3,Libros del Asteroide,Paperback,172,2016,2014,2023/02/28,2023/02/28,,,read,"El libro está bien, tiene su gracia, pero la voz narradora me cae mal. Es el prototipo de persona que me cae mal, una pixie dream girl snob. Hubo un momento donde me dejé llevar, en el summit de su sufrimiento pero casi que ni siquiera.",,,1,0
17319107,La comemadre,Roque Larraquy,"Larraquy, Roque",,"=""9871768001""","=""9789871768004""",3,Entropía,Paperback,148,2017,2010,2023/02/14,2023/02/14,,,read,"Muy bien escrita. La primera parte es muy interesante, la segunda me perdí un poco porque estaba todo el tiempo preguntándole por dónde se relacionaba con la primera. Igual ese fue mi error.<br/>Terrorifica pero el narrador no tiene problemas con eso y yo lo sigo a donde vaya.",,,1,0
61210013,La casa en llamas,Ann Beattie,"Beattie, Ann",,"=""987485670X""","=""9789874856708""",4,Chai Editora,Paperback,243,2022,2010,2023/02/07,2023/02/04,,,read,"Cuentos detallados sobre historias pequeñas, de personas random. No sucede nada extraordinario, vidas comunes, ese estilo. Muy buena narración.",,,1,0
59113267,Punto de cruz,Jazmina Barrera,"Barrera, Jazmina",,"=""8412303687""","=""9788412303681""",3,Tránsito,Paperback,240,2021,2021,2023/02/04,2023/02/04,,,read,"Es un libro muy tierno sobre la amistad y el bordado. Bonito, bien escrito, profundo y tierno. No intenta ser más de lo que es.",,,1,0
53516906,La insumisa,Cristina Peri Rossi,"Rossi, Cristina Peri",,"=""9974908523""","=""9789974908529""",3,Casa Editorial Hum,Paperback,216,2020,2020,2023/01/21,2023/01/21,,,read,"La autora escribe su autobiografia de la infancia y adolescencia inicial en los 40 en Montevideo. No me terminó de cerrar. Se mezcla mucho la visión infantil y la adulta, y esta última muchas veces sobreanaliza y sobreexplica todo, incluidos los otros personajes. Todo esta sobreexplicado y ella esta en victimización constante. Se describe como una niña genio de buenas intenciones en un mundo podrido y violento y me genera desconfianza.",,,1,0
63053742,Los sabios del sillón,Eitán,"Eitán, Eitán",,"=""987486155X""","=""9789874861559""",5,Hibrida,Paperback,132,2022,,2023/01/07,2023/01/04,,,read,"Arriesgado, interesante. No hay miedo en la escritura, en la exposición. ",,,1,0
62794040,Todo el mundo sabe que tu madre es una bruja,Rivka Galchen,"Galchen, Rivka",Daniela Bentancur,"=""9874178655""","=""9789874178657""",3,Fiordo,Paperback,301,2022,2021,2023/01/04,2023/01/02,,,read,"Interesante, de a momentos se me hizo un poco larga. Me gusta que se narre desde diferentes puntos de vista y que los capítulos sean breves. No me hizo reír ni llorar pero lo leí con regularidad. ",,,1,0
